,P1_x,P1_y,P2_x,P2_y,P3_x,P3_y
0,-10,0,0,10.094856400881177,10,0
1,-10,0,0,9.764738188571693,10,0
2,-10,0,0,10.761827430024985,10,0
3,-10,0,0,11.113595767655667,10,0
4,-10,0,0,9.286625622203966,10,0
5,-10,0,0,9.83952007509958,10,0
6,-10,0,0,-10.213680326580489,10,0
7,-10,0,0,9.02575690199367,10,0
8,-10,0,0,10.569204943070568,10,0
9,-10,0,0,9.687656282148554,10,0
10,-10,0,0,10.58085141675194,10,0
11,-10,0,0,-10.65732191436999,10,0
12,-10,0,0,-11.362286815422214,10,0
13,-10,0,0,-10.431738062665064,10,0
14,-10,0,0,10.615026915414916,10,0
15,-10,0,0,11.773917088102566,10,0
16,-10,0,0,-9.746378152852133,10,0
17,-10,0,0,11.459925287183657,10,0
18,-10,0,0,9.532327026213343,10,0
19,-10,0,0,-11.86573757901166,10,0
20,-10,0,0,9.796186143373314,10,0
21,-10,0,0,9.404296803386808,10,0
22,-10,0,0,10.370026228699645,10,0
23,-10,0,0,-10.813092850373442,10,0
24,-10,0,0,9.326713558239677,10,0
25,-10,0,0,8.602384446209857,10,0
26,-10,0,0,10.237898427420138,10,0
27,-10,0,0,-6.671612471561846,10,0
28,-10,0,0,9.516909631814222,10,0
29,-10,0,0,7.625808866320618,10,0
30,-10,0,0,9.585716081029718,10,0
31,-10,0,0,-10.618175890292717,10,0
32,-10,0,0,-9.858339544048299,10,0
33,-10,0,0,10.674187850745557,10,0
34,-10,0,0,8.34567154913983,10,0
35,-10,0,0,10.241945764071863,10,0
36,-10,0,0,-9.658052721872172,10,0
37,-10,0,0,-7.892279837927726,10,0
38,-10,0,0,11.25608259046961,10,0
39,-10,0,0,-9.892800311161047,10,0
40,-10,0,0,12.291049970169086,10,0
41,-10,0,0,11.330374300844337,10,0
42,-10,0,0,-10.561173494166036,10,0
43,-10,0,0,-10.78762177259175,10,0
44,-10,0,0,9.36058509430677,10,0
45,-10,0,0,8.00531790693649,10,0
46,-10,0,0,-8.692188621275754,10,0
47,-10,0,0,-10.758243470041052,10,0
48,-10,0,0,-11.79892056624027,10,0
49,-10,0,0,9.562326406313861,10,0
50,-10,0,0,-9.743829999870831,10,0
51,-10,0,0,-9.873236183219438,10,0
52,-10,0,0,-9.617009739008273,10,0
53,-10,0,0,-10.259919047105937,10,0
54,-10,0,0,-7.279775834651944,10,0
55,-10,0,0,-10.285440659981816,10,0
56,-10,0,0,-10.61194955503653,10,0
57,-10,0,0,9.91275430557927,10,0
58,-10,0,0,11.824360354344408,10,0
59,-10,0,0,-11.870575763401417,10,0
60,-10,0,0,-10.313435835437465,10,0
61,-10,0,0,-9.273587753104804,10,0
62,-10,0,0,8.733271270391612,10,0
63,-10,0,0,10.176325856095154,10,0
64,-10,0,0,11.3958068907115,10,0
65,-10,0,0,-10.038434756022182,10,0
66,-10,0,0,10.51347896363325,10,0
67,-10,0,0,-8.200936113878631,10,0
68,-10,0,0,9.090040272847666,10,0
69,-10,0,0,-8.774134252244517,10,0
70,-10,0,0,-9.659511372821946,10,0
71,-10,0,0,-10.396757977210683,10,0
72,-10,0,0,11.204260101156741,10,0
73,-10,0,0,-10.195851692538787,10,0
74,-10,0,0,-10.607027769017293,10,0
75,-10,0,0,-11.72376763143894,10,0
76,-10,0,0,9.500608909461889,10,0
77,-10,0,0,10.436442384755132,10,0
78,-10,0,0,11.713455025758474,10,0
79,-10,0,0,-9.86512678210693,10,0
80,-10,0,0,-9.889944088513536,10,0
81,-10,0,0,-8.721570189849743,10,0
82,-10,0,0,-10.0783419399571,10,0
83,-10,0,0,10.295130194048351,10,0
